UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
The father was already thinking of the burial.	Tatăl se gândește deja la îngropăciune.
Yet somehow, someone thought it would be better to call Baba Brandusa, a healer and servant of the Brancusi family.	Totuși, cineva găsește că e bine s-o cheme pe Baba Brândușa, doftoroaie și servitoare a Brâncușilor.
Brandusa checked the child's breath, then put horse dung collected from the vicinity under his nose.	Brândușa verifică respirația copilului, apoi îi pune sub nas balegă de cal, adunată din preajmă.
The child sneezed loudly.	Copilul strănută puternic.
The people applauded.	Lumea aplaudă.
While the boy was allowed to sleep off his drunkenness, the party continued even louder and with more energy.	În vreme ce băiatul e lăsat să-și doarmă mai departe beția, de bucurie, petrecerea cu lăutari continuă cu și mai multă forță.
The next day, the father and the son meet in the orchard.	A doua zi, tatăl și fiul se întâlnesc prin livadă.
Radu Constantin Brancusi sent his son to gather some twigs and bring them to him.	Radu Brâncuși îl pune pe Constantin să adune niște nuiele și să i le aducă.
The father holds his son upside down and whips him with the twigs, beats him to forever remember this.	Tatăl își așază copilul cu capul în jos și, cu nuielele aduse de băiat, îl bate ca să țină minte.
While he feels the sting of the blows, little Brancusi has the revelation that the world can also be seen from another perspective and that things around him can seem overturned.	Și, în timp ce simte usturimea loviturilor, micul Brâncuși are revelația că lumea poate fi privită și dintr-o altă perspectivă și că lucrurile din jur pot apărea răsturnate.
The Sun's position is different from the one the boy knows, and this makes him wonder, as he later admits in his old age, that maybe the star itself brings its contribution to his trouble.	Mai ales poziția soarelui, diferită de cea binecunoscută, îl face să se întrebe, după cum avea să recunoască la bătrânețe, dacă nu cumva însuși astrul participa la tulburarea lui.
Is it possible that the Sun was as troubled as his father because of what had happened to him?	Să fi fost și soarele la fel de tulburat ca tatăl său de ceea ce i se întâmplase?.
Currently, the city does not work	La ora actuală, orașul nu funcționează
An MP calls on the politicians to remember those who voted for them.	Un parlamentar face apel la politicieni pentru a-și aduce aminte de cei care i-au votat.
Independent Deputy Viorel Blăjuț appealed to PSD (Social Democrat Party) and PNL (Liberal National Party) to cease their internal disputes and reorient their agenda towards the voters.	Deputatul independent Viorel Blăjuț a făcut apel la PSD și PNL să înceteze luptele interne și să-și reorienteze agenda spre electorat.
What we see now on our political scene is just a great disunion and nothing more.	Ce vedem acum pe scena noastră politică este o mare dezbinare și atât.
I have not seen any USL (Social Liberal Union) projects from 2012 to continue.	Nu am văzut nimic din proiectele USL din 2012 care să continue.
No highway or Regional Emergency Hospital, you only see how the politicians argue over possible locations based on real estate interests.	Nici autostradă, nici Spital Regional de Urgențe, vezi doar cum politicienii își dispută amplasamentele posibile în funcție de interesele imobiliare.
We should let politics aside for a time, and we should meet to talk.	Să lăsăm un pic deoparte politica, să ne adunăm și să vorbim.
Currently, the city does not work.	La ora actuală, orașul nu funcționează.
"If you're busy with an internal war, you have no time for those who elected you," said Blăjuț.	"Dacă ești ocupat cu războiul intern, nu mai ai timp de cei care te-au ales", a declarat Blăjuț.
He said that the current political class has disappointed the voters of Iasi county, and the consequence will be a very low presence at the upcoming local elections, at around 30%, which is virtually the parties' loyal electorate.	El a apreciat că actuala clasă politică a dezămăgit electoratul ieșean, consecința urmând să fie o prezență foarte redusă la viitoarele alegeri locale, în jurul cifrei de 30%, reprezentând practic electoratul fidel al partidelor.
The deputy also believes that the voters will increasingly focus towards traditional parties, expressing reservations towards the new political initiatives, such as the Party "For Iași" which will be launched today.	De asemenea, deputatul consideră că alegătorii se vor orienta tot spre partidele tradiționale, exprimându-și rezerva față de inițiative politice noi, cum este și partidul "Pentru Iași" care va fi lansat astăzi.
Local parties have little chance and will only break the right wing's electorate, and not the one of PSD.	Partidele locale au șanse foarte mici și nu vor face decât să rupă din electoratul dreptei, nu din cel al PSD.
Such parties rely on civic active people, who are usually from the right wing.	Astfel de partide se bazează pe oamenii activi civic, care de regulă sunt de dreapta.
"The right wing is crumbling further, which is not good for anyone, including PSD", said Blăjuț.	"Se fărâmițează și mai mult dreapta, ceea ce nu este bine pentru nimeni, nici pentru PSD", a spus Blăjuț.
He said he is not interested in a candidacy for the upcoming local elections, denying the rumours of his intention to enter the race for the Mayor position.	El a precizat că nu este interesat de o candidatură la viitoarele alegeri locale, dezmințind zvonurile cu privire la intenția sa de a se înscrie în cursa pentru Primărie.
I have already stated I do not want to run for any local position.	Am mai spus că nu vreau să candidez la nicio funcție locală.
I'll think about whether to continue as a deputy for the next office.	Mă mai gândesc dacă să continui ca deputat și în viitorul mandat.
I tried to make an appeal for unity for Iasi during the discussions on the hallways with the other MPs, and I was accused that I want to build an image.	Am încercat să fac apel la unitate pentru Iași și în discuțiile de pe holuri, cu ceilalți parlamentari, și am fost acuzat că vreau să-mi fac imagine.
This is not my intention, but we cannot continue in this way.	Nu vreau, dar nu mai putem continua așa.
"If the people voted for us it does not mean they are stupid enough to vote for us again if they don't see anything," said Blăjuț, who stated that the main reason the electorate is no longer interested in politics is the hypocrisy of the elected persons.	"Dacă oamenii ne-au votat, nu înseamnă că sunt proști să ne mai voteze dacă nu văd nimic", a spus Blăjuț, care a apreciat că principalul motiv pentru care electoratul nu mai este interesat de politică este ipocrizia aleșilor.
A colleague from Tătărași said that he does not have enough money and he must go by bus.	Un coleg din Tătărași a spus că nu-i ajung banii și trebuie să meargă cu autobuzul.
