Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
"This law will reduce poverty, raise wages and save billions of dollars for taxpayers, and will do this by changing the way the US issues Green Cards to citizens from other countries.	„Tento zákon sníží chudobu, zvýší mzdy a ušetří miliardy dolarů pro poplatníky daně. Docílíme toho změnou pravidel vydávání zelených karet obyvatelům ostatních zemí.
The law will reduce chain migration and replace the current scheme.	Zákon omezí počet přistěhovalců a nahradí současné schéma.
This new application process will benefit candidates who speak English, have financial resources to support themselves and show skills that will benefit our economy," said Trump, quoted by the American media.	Nový aplikační proces upřednostní anglicky mluvící žadatele, kteří oplývají finančními prostředky a prokáží schopnosti, které budou ku prospěchu naší zemi,“ uvedl Trump, citovaný médii.
The rise of sex robots is real, and we should be concerned	Sexuální roboti jsou na vzestupu - měli bychom být na pozoru
Just when you thought 2017 couldn't get any weirder along comes a new report on the technological developments in the sex robot sector.	Zrovna když to vypadalo, že rok 2017 nemůže být bizarnější, objeví se na internetu zpráva o technologickém vývoji sexuálních robotů.
Yep.	Ano.
Sex robots are a big deal right now.	Sexuální roboti jsou v současnosti opravdu populární.
Recently, the Foundation for Responsible Robotics (FRR) released a report looking at the development of sex robots over the next five to 10 years.	Organizace Foundation for Responsible Robotics (FRR) nedávno vydala prohlášení o vývoji sexuálních robotů v rámci příštích pěti až deseti letech.
According to Noel Sharkey, emeritus professor of robotics and artificial intelligence at the University of Sheffield and co-founder of the FRR, we need to start taking their rise seriously.	Podle slov bývalého profesora robotiky a umělé inteligence na Sheffieldské univerzitě a spoluzakladatele FRR Noela Sharkeyho je nutné pohlížet na vzestup sexuálních robotů vážně.
Customers can choose the robot's eye colour, nipple shape and fingernail type.	Zákazníci si mohou zvolit barvu očí, tvar bradavek a vzhled nehtů robota.
"People snigger about them, but the companies are actually shipping quite a lot and we are going to see them a lot more," Mr Sharkey said at the launch of the new report.	„Lidé si z nich utahují, ale prodeje rostou a musíme být připraveni na to, že je budeme vídat čím dál častěji,“ uvedl Sharkey u příležitosti zveřejnění zprávy.
Modern sex dolls have evolved out of their blow-up counterparts into robots with a silicon skin that is warm to the touch - with deliberately human-like responses achieved by artificial intelligence.	Moderní sexuální pomůcky se mění z nafukovacích pan na robotické ženy se silikonovou kůží, která je na dotek příjemně teplá - samozřejmostí je umělá inteligence, jež napodobuje chování člověka.
The user can also "customise" their robot to suit their persuasions, choosing everything from the robot's eye colour, nipple shape to fingernail type or colour.	Uživatel může robota „upravit“ k obrazu svému - od barvy očí a tvaru bradavek až po vzhled a barvu nehtů.
But it gets even more disturbing, with many of the robots possessing "personalities" that would make a Stepford Wife look progressive.	Velmi znepokojující je ovšem fakt, že mnoho robotů má vlastní „osobnost“, která by zahanbila i Stepfordskou paničku.
Modern sex dolls have evolved into robots with a silicon skin.	Moderní nafukovací panny se vyvinuly v robotické ženy se silikonovou kůží.
The RealBotix robot, for example, allows users to customise their robots according to the traits they find appealing, such as shyness.	Majitel robota RealBotix může své náhradní ženě nastavit různé charakterové rysy, mezi nimi i stydlivost.
Then there are the Roxxxy Gold sex robots, developed by True Companion, which come with pre-programmed personalities, including "Frigid Farrah" that gives the impression of shyness and "Wild Wendy" with an "adventurous" personality.	A pak je zde sexuální robotická žena Roxxxy Gold společnosti True Companion, která je dodávána s předem naprogramovanými osobnostmi, včetně „frigidní Farrah“, která se vyznačuje stydlivou povahou a „divoké Wendy“ s „dobrodružnou“ povahou.
"Roxxxy Gold has a personality which is matched as much as possible to your personality," the True Companion website enthuses.	„Osobnost Roxxxy Gold je nastavena tak, aby v maximální možné míře vyhovovala vaší osobnosti,“ píše se na webové stránce společnosti True Companion.
So she likes what you like, dislikes what you dislike, etc.	Má tedy ráda to, co se líbí vám a naopak.
She also has moods during the day just like real people!	Dokonce je náladová, stejně jako lidé.
She can be sleepy, conversational or she can 'be in the mood'!"	Může být unavená, hovorná nebo být „v náladě“.
There are many disturbing aspects to the rise of sex robots - not least of which is the replacement of real, human relationships - but the subservient female traits, the rapey connotations of making a move on Frigid (read: resistant) Farrah, are the most concerning.	Vzestup sexuálních robotů je alarmující hned z několika důvodů - mezi něž nepatří záměna za skutečné mezilidské vztahy. Znepokojující jsou spíše podřadné ženské charakterové rysy a násilné narážky - např. frigidní (čti vzdorující) Farrah.
On its website, True Companion likened Roxxxy to a vibrator, but for men.	Společnost True Companion na svých webových stránkách připodobňuje Roxxxy k vibrátoru pro muže.
"If woman (sic) can have a vibrator, why can't men have a Roxxxy?" the website states.	„Když může mít žena vibrátor, proč by nemohl mít muž Roxxxy?“ píše se na stránce.
However, these sex robots are not a mere fetish or just another sex toy.	Sexuální roboti však nejsou pouhým fetišem nebo sexuální pomůckou.
Their emergence and increasing sophistication points to something darker and deeper within our culture, a retreat from the ideal of gender equality toward a desire for sex with subjugation as an optional add-on.	Jejich vznik a téměř dokonalá sofistikovanost ukazují na něco temnějšího a hluboce zakořeněného v naší kultuře - odsun od ideální či pohlavní rovnosti směrem k touze po podmanivém sexu s volitelnou přirážkou.
Most men, naturally, are not going to keep sex robots, and while the FRR noted their increasing popularity, they remain, for now, on the outskirts of consumer culture.	Většina mužů si pochopitelně robotickou ženu nekoupí a zatímco FRR mluví o jejich narůstající oblíbenosti, sexuální roboti stále zůstávají na okraji zájmu široké veřejnosti.
But what seeps in from the fringes can be highly instructive as to the tenor of the era we're living in.	Tento okrajový zájem se však může stát zrcadlem nastaveným současné moderní době.
And many people aren't weird or offensive until the free market gives them the permission to be so.	A většina lidí není podivínská či násilnická, dokud jim k tomu nezavdá záminku volný trh.
There is little coincidence that these sophisticated sex robots have emerged at a time when women's rights are under threat across the globe, when there is a president in the White House who has bragged about sexually assaulting women.	Není náhodou, že se tito sofistikovaní sexuální roboti objevují v době, kdy si ženy po celém světě vydobývají svá práva a v Bílém domě sedí prezident, který se na adresu ženy vyjadřuje mnohdy velmi hanlivě.
The most chilling aspect of the TV series The Handmaid's Tale isn't the graphic imagery, the noosed bodies and gouged eyes, but just how realistic that vision feels.	Nejhrůzostrašnějším aspektem seriálu Příběh služebnice není to, co vidíme - oběšená těla a vydlabané oči, jako spíše reálnost těchto vizí.
The Republic of Gilead is a leap, but, right now, it doesn't feel like a large one.	Knižní předloha Příběh služebnice představuje krok správným směrem, ale v současné době se zdá, že je to malý krůček.
The aim behind these sex robots is to create as much of a physical likeness to actual women (albeit with porn star proportions) as technologically possible.	Sexuální roboti se mají pokud možno co nejvíce podobat skutečným ženám (třebaže s mírami pornoherečky).
