This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
Above all for a minor clarification which was implied in the comment, which itself intends to show pedagogy.	Surtout pour une précision mineure qui était sous-entendue dans le commentaire, qui lui-même entend faire preuve de pédagogie.
Without saying that I know melanomas well, UV rays only ACCELERATE their development.	Sans dire que je suis un habitué du mélanome, les UV ne font qu’ ACCELER son développement.
They do not CAUSE them.	Ils ne le PROVOQUENT pas.
As proof: all tanned people do not necessarily have melanomas.	Pour preuve : toutes les personnes bronzées n’ont pas forcément de mélanomes.
That is to say, when a doctor tells you that it is necessary to avoid the sun and live at the bottom of a cellar, it is better not to listen as UV rays are necessary for every human.	Soit, quand un toubib vous dit qu’il faut éviter le soleil et vivre au fond d’une cave, mieux vaut ne pas écouter car les UV sont nécessaires à tout humain.
Excess, on the other hand, is like everything: it kills.	L’excès, par contre, c’est comme tout : il tue.
But for other reasons.	Mais pour d’autres raisons.
UV rays directly cause melanomas.	Les UV provoquent directement le mélanome.
Does it bend?	Est-ce qu'on peut le plier ?
More importantly, will it blend?	Et, plus important, est-ce qu'on peut le passer au mixeur ?
or blend...	ou le passer au mixeur…
I think the majority of the attention paying population have established, that anything will bend if enough force is applied to it and the iPhone 6 is perfectly acceptable in its strength, for the use to which it was intended.	Je crois que la majorité de ceux qui s'y intéressent ont établi que tout peut être plié si on y applique une force suffisante et la robustesse de l'iPhone 6 est parfaitement acceptable, pour l'usage auquel il est destiné.
I believe the military may require something more hard wearing and as such haven't adopted the iPhone6 yet as its choice in frontline communications.	Je pense que l'armée aurait besoin de quelque chose de plus résistant et n'a de ce fait pas encore adopté l'iPhone6 comme matériel de communication en première ligne.
For the rest of us.	Mais pour nous autres,
It's a good choice.	Ça reste un bon choix.
the majority of the attention paying population have established, that anything will bend if enough force is applied to it	la majorité de ceux qui s'y intéressent ont établi que tout peut être plié si on y applique une force suffisante
Except a Nokia 3310.	Sauf un Nokia 3310.
More to the point, is it already bent?	Plus précisément, est-il déjà plié ?
This joke is made on every thread.	On fait cette blague dans chaque discussion.
I've decided to keep count.	J'ai décidé de les compter.
This is the fourth bend joke I've read in comments today.	C'est la quatrième blague sur le pliage que j'ai lu dans les commentaires aujourd'hui.
It's quite difficult to see how a prototype could get anywhere near the distribution operation.	C'est difficile de comprendre comment un prototype peut être distribué comme ça.
By the time the special software is being installed, you would think the phone would be clear of the main production line, and it's difficult to imagine how it would get back into it.	Avant qu'on installe des logiciels spécifiques, on imagine que le téléphone a été retiré de la chaîne de production principale et on voit mal comment il pourrait y revenir.
So, hmmmmmmmmmmmmmmmmmmmmm........................................	Donc, hmmmmmmmmmmmmmmmmmmmmm........................................
More likely it is a production unit that hasn't had the iOS software installed correctly and is stuck with the factory test code installed.	Le plus probable c'est qu'il s'agisse d'une unité de production sur laquelle l'iOS n'a pas été installé correctement et qui est donc coincé avec le code de test usine installé.
I have no idea how they make these things.	Je ne sais pas du tout comment ils font ces trucs.
Would they have test software on every single one, though?	Mais, est-ce qu'ils mettraient des logiciels de test sur tous ?
The photographs on ebay clearly show the absence of the FCC/CE logo's and a red prototype connector.	Les photographies sur Ebay montrent clairement l'absence de logo FCC ou CE et la présence d'un connecteur rouge de prototype.
Ah the quintessential article for bohos.	ah l article pour bobo par excellence.
We want cheap products and we are surprised that the factory-produced ones are produced in factories. We put super u forward, but all brands and even small-scale trade are concerned. How to eat well, bio with €1,650 (average salary in France)?	On veut des produits peu chers et on s’étonne que les industriels produisent en » industriels’ On met en avant super u mais toutes les enseignes et mème le petit commerce sont concernés Comment bouffer bon, bio avac 1650€ (salaire moyen en france)?
But to reply to your post, it is possible to eat well with a small salary.	Mais pour répondre à votre post, si c’est possible de manger correctement avec un petit salaire.
Afterwards, everyone is free to set their priorities where they like.	Après chacun est libre de mettre ses priorités là où il l’entend.
For me food is one of them.	Pour ma part l’alimentation en est une.
OK then no hard feelings, I send you a kiss	Allez sans rancune, je vous embrasse
We call bohos, or rather eco-bohos, people who see the world through an ideological "software program", which leads them to disconnect themselves from realities.	On appelle bobos, ou mieux boboécolos, des personnes qui voient le monde à travers un « logiciel » idéologique qui les amène à se déconnecter des réalités.
It is the full unbundling of thought-reason.	C’est le dégroupage total pensée-raison.
They are experts in gesticulation, for example they claim to save the planet because they avoided having a shower.	Ils sont experts en gesticulation, par exemple prétendent sauver la planète parce qu’ils ont évité de prendre une douche.
They are also experts in hypocrisy, agreeing with the caviar left, from which they sometimes come, for example by condemning CO2 emissions while spending their holidays in the Maldives.	Il sont aussi experts en tartuferie, rejoignant en cela la gauche-caviar, dont ils sont parfois issus, par exemple en condamnant les rejets de CO2 tout en passant leurs vacances aux Maldives.
The vast majority of our fellow citizens do not put up with this mixture of oafish ideology and hypocrisy, therefore do not be surprised if you often find criticisms on them.	La grande majorité de nos concitoyens ne supportent pas ce mélange d’idéologie lourdaude et de tartuferie aussi ne soyez pas étonné de rencontrer souvent des critiques à leur sujet.
Wow, thank for this complete and exhaustive theorization and for all the associated details (plane, shower...).	Waouh, merci pour cette théorisation complète et exhaustive ainsi que pour tous les détails associés (avion, douche…).
I would really like to be a part of them, but I cannot find my way around them.	J’aimerais bien en faire partie mais je ne m’y retrouve pas.
The concept is not that complicated.	Le concept n’est pas si compliqué.
The eco-bohos are cast in one piece.	Les boboécolos sont monobloc.
