Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
In a letter to the company's site manager, GMB Scotland called on McVitie's to "address concerns that funding is not being brought forward for the modernisation of production lines."	Ettevõtte objektijuhile saadetud kirjas pöördus GMB Scotland ettevõtte McVitie's poole palvega "lahata muresid seoses sellega, et rahastust ei kasutata tootmisliinide nüüdisajastamiseks".
GMB senior organiser Drew Duffy, said: "The fact that we cannot get clarity from the general site manager over the business needs and investment plan for the future of Tollcross is deeply concerning our members.	GMB vanemorganisaator Drew Duffy sõnas: "Asjaolu, et me ei saa objekti peajuhatajalt selgust Tollcrossi ärivajaduste ja tuleviku investeerimisplaani osas, paneb meie liikmeid sügavalt muretsema.
Generations of families have worked here and the workforce is highly concentrated in the local community and the greater Glasgow area, a crucial pillar of decent employment in an area of high unemployment and social deprivation.	Siin on töötanud mitme põlvkonna jagu perekondi ning tööjõud koosneb suuresti kohalikust kogukonnast ja Glasgow ümbruskonna inimestest, olles hädavajalik tugisammas korraliku tööhõive tagamiseks piirkonnas, kus on kõrge töötus ja valitseb sotsiaalne ilmajäetus.
So, from the perspective of jobs, pay and prosperity, and against the backdrop of Brexit, rising cost of living and chronic manufacturing decline, the east end of Glasgow desperately needs a thriving manufacturing presence at McVitie's."	Seega vajab Glasgow idaosa töökohtade, palga ja heaolu seisukohalt ning Brexiti, elamiskulude tõusu ning tootmise kroonilise kahanemise taustal hädasti jõudsalt kasvava tootlusega ettevõttet McVitie's."
A spokeswoman for Pladis said: "The site manager at Tollcross received a letter from GMB Scotland only yesterday and the company will be responding directly as we value ongoing engagement with employees and union representatives.	Pladise esindaja ütles: "Tollcrossi objektijuht sai GMB Scotlandilt kirja alles eile ning ettevõte vastab talle otse, kuna väärtustame aktiivset suhtlust töötajate ja ametiühingu esindajatega.
We had a regular meeting with employees and GMB representatives at Tollcross two months ago at which a number of issues were discussed openly.	Kaks kuud tagasi toimus Tollcrossis töötajate ja GMB esindajate vaheline regulaarne kohtumine, kus arutati avatult mitmeid probleeme.
We discussed with employees then that like all companies operating in an extremely competitive and uncertain economic climate, we review our operations on an ongoing basis - and that applies across our all our businesses and sites - in order to remain competitive.	Arutasime siis töötajatega, et nagu kõik teised äärmiselt konkurentsirohkes ja ebakindlas majanduskliimas tegutsevad ettevõtted, vaatame oma tegevusi jooksvalt üle - ja see kehtib kõigi meie ettevõtete ning objektide kohta -, et tagada oma konkurentsivõimelisus.
She added: "In recent years, we have invested over £5m in our Tollcross site, notably on production lines and operational improvements.	Ta lisas: "Viimastel aastatel oleme investeerinud Tollcrossi objekti üle 5 miljoni naela, suurem osa sellest on läinud tootmisliinidesse ja toimingute täiustamisse.
We fully recognise the heritage of Tollcross as a manufacturing site and should there be any changes to our operations at the site, employees and their union representatives will be the first to know."	Mõistame täielikult Tollcrossi kui tootmisobjekti pärandit ja kui objekti tegevuses peaks toimuma mingeid muutusi, on töötajad ja ametiühingu esindajad esimesed, kes sellest kuulevad."
Did PSG warn Barcelona about move for Neymar three years ago?	Kas PSG hoiatas Barcelonat kolm aastat tagasi Neymarile lähenemise eest?
La Liga side may rue their interest in Marco Verratti	La Liga võib kahetseda oma huvi Marco Verratti vastu
Paris Saint-Germain will not let up in their pursuit of Neymar after lodging a £189m offer to trigger his release clause, but did they warn Barcelona of the world-record raid three years ago?	Paris Saint-Germain ei anna alla püüdlustes meelitada Neymar oma ridadesse, tehes tema väljaostmiseks 189 miljoni naela suuruse pakkumise. Kuid kas nad hoiatasid Barcelonat kolm aastat tagasi selle rekordilise vallutusretke eest?
The sensational approach has lit up the summer transfer window, with the Ligue 1 club ready to break the world transfer record by more than double the previous mark, which saw Paul Pogba return to Manchester United last season for £89m.	See kõmuline lähenemine on avanud suvise üleminekuakna ning Ligue 1 klubi on valmis purustama rohkem kui kahekordselt üleostmise praeguse maailmarekordi, mis püstitati eelmisel hooajal Paul Pogba naasmisega Manchester Unitedisse 89 miljoni naela eest.
Once completed, the move will see Neymar become the world's most expensive player and also the highest-paid professional sportsman in the world, with PSG offering wages of over £500,000-a-week after tax.	Kui üleminek on lõpule viidud, saab Neymarist selle tulemusel maailma kõige kallim mängija ja ühtlasi kõige kõrgemini tasustatud professionaalne sportlane maailmas, kes hakkab saama pärast makse PSG-lt palgaks üle 500 000 naela nädalas.
Barcelona are known to be furious with the manner of the approach and the way that Neymar has forced his way out, despite a source close to the Catalans' board insisting that the club have always done their best to look after him since his arrival from Santos in 2013.	Barcelona on teadagi vihane nii lähenemise viisi kui ka Neymari vabaks murdmise tõttu, kuigi Catalansi juhatusele lähedane allikas kinnitab, et klubi on jalgpalluri eest alates tema Santosest saabumisest 2013. aastal alati parimat hoolt kandnud.
But was the football world warned of this prospect three years ago by the PSG president?	Kuid kas PSG president hoiatas jalgpallimaailma sellise võimaluse eest kolm aastat tagasi?
When Manchester City expressed an interest in signing Blaise Matuidi in 2014, Nasser Al-Khelaifi had a stern warning for any club looking to sign one of PSG's best players.	Kui Manchester City näitas 2014. aastal välja huvi Blaise Matuidiga lepingu sõlmimise vastu, hoiatas Nasser Al-Khelaifi karmilt kõiki klubisid, kes mõtlevad mõne PSG parima mängija värbamise peale.
"I am not worried because they know that if they touch one of our players, then we will be in opposition to them, we'll contact their players," Al-Khelaifi said.	"Ma ei muretse, kuna nad teavad, et kui nad puudutavad mõnda meie mängijat, siis me astume neile vastu ja võtame ühendust nende mängijatega," sõnas Al-Khelaifi.
"We respect all clubs.	"Me austame kõiki klubisid.
But if they try to sign one of our players, they'll face consequences."	Aga kui nad püüavad sõlmida lepingut mõne meie mängijaga, tuleb neil tagajärgedega silmitsi seista."
Barcelona appear to have crossed this line, with the Spanish club expressing an interesting in PSG midfielder Marco Verratti earlier this summer.	Barcelona näib olevat sellest piirist üle astunud, kuna Hispaania klubi näitas varem sel suvel üles huvi PSG keskväljamängija Marco Verratti vastu.
PSG made it clear that they would not allow the Italy international to leave under any circumstances, and Barcelona could well be feeling the repercussions of that interest by losing one of their prize assets in Neymar.	PSG tegi selgeks, et nad ei lase itaallasel ühelgi tingimusel lahkuda ja et Barcelona võib saada selle huvi tulemusel tagasilöögi, kaotades Neymari kujul ühe oma kallitest varadest.
Prime minister: After Brexit, Ireland wants to build bridges, not borders.	Peaminister: Iirimaa tahab pärast Brexitit ehitada sildu, mitte piire.
“Brexit seriously threatens to drive a wedge between Northern Ireland and Ireland as well as between Great Britain and Ireland,” Varadkar warned on his first visit to Northern Ireland since taking office in June.	"Brexit ähvardab tõsiselt lüüa kiilu Põhja-Iirimaa ja Iirimaa, Suurbritannia ja Iirimaa vahele", hoiatas Varadkar esimesel visiidil Põhja-Iirimaale pärast ametisseastumist juunis.
“I can’t imagine who would gain from this,” he added.	"Ma ei suuda ette kujutada, kes sellest kasu saaks", lisas ta.
Cross-border infrastructure projects made possible the current freedom of movement of people and goods, he said.	Piiriülesed taristuprojektid muutsid võimalikuks praeguse inimeste ja kaupade vaba liikumise, ütles Varadkar.
“This is our vision for the future: to build bridges, not borders,” he stressed.	"See on meie visioon tulevikuks: ehitada sildu, mitte piire", rõhutas ta.
Varadkar said he would prefer Great Britain to remain part of the European Union, or since this is not possible, to remain part of the European Single market.	Varadkari sõnul eelistaks ta Suurbritannia jäämist osaks Euroopa Liidust, ja kuna seda ei suudeta, siis jäämist osaks Euroopa ühisturust.
This would preserve the current free trade between the Republic of Ireland and the United Kingdom.	See säilitaks praeguse vabakaubanduse Iiri Vabariigi ja Ühendkuningriigi vahel.
Another way to make the exit of Britain smoother would be to establish a customs union between the European Union and the United Kingdom, explained the Irish prime minister.	Teine võimalus muuta Suurbritannia lahkumine sujuvamaks oleks Euroopa Liidu ja Ühendkuningriigi tolliliidu loomine, seletas Iiri peaminister.
Noting that such an agreement existed with Turkey, Varadkar said: “Certainly we could have such an agreement with Great Britain.”	Märkides, et selline kokkulepe eksisteeris Türgiga, sõnas Varadkar: "Kindlasti võiks meil olla selline Suurbritanniaga".
An alternative to this would be going back to customs checkpoints, which would be a declaration of historical fragmentation and political failure.	Alternatiiv sellele oleks naasmine tollipunktide juurde, mis kuulutaksid ajaloolist lõhestatust ja poliitilist läbikukkumist.
“A barrier to trade, prosperity and peace,” said the Taoiseach.	"Tõke kaubandusele, õitsengule ja rahule", sõnas Iiri peaminister.
He called Brexit “our generation’s challenge” and warned that the outcome could affect all aspects of everyday life for Northern Ireland.	Ta nimetas Brexitit "meie põlvkonna väljakutseks" ning hoiatas, et selle tulemus võib mõjutada Põhja-Iiri igapäevaelu iga aspekti.
The Taoiseach met with the leaders of Northern Ireland’s primary political parties on a visit to Belfast.	Iiri peaminister kohtus Belfasti külastades Põhja-Iiri peamiste parteide liidritega.
Märt Avandi after first full triathlon: Anyone can make it through an Ironman.	Oma esimese poolpika triatloni läbinud Märt Avandi: Ironman'i suudab läbida igaüks.
Today, in the winter capital of Estonia Otepää, the biggest triathlon festival in the Baltics was held, with close to a thousand triathletes from over 30 countries entering the fray in the Ironman.	Täna peeti talvepealinnas Otepääl Baltimaade suurimat triatlonifestivali, kui poolpika Ironmani võistlustulle asus ligikaudu tuhat triatleeti üle kolmekümnest riigist.
The 70.3 mile distance was made up of a 1.9 km swim, 90 km of cycling and 21.1 km of cycling.	70,3 miili pikkune distants koosnes 1,9 km ujumisest, 90 km rattasõidust ning 21,1 km rattasõidust.
